Doctor Name,City,Specialization,Doctor Qualification,Experience(Years),Total_Reviews,Patient Satisfaction Rate(%age),Avg Time to Patients(mins),Wait Time(mins),Hospital Address,Doctors Link,Fee(PKR)
Prof. Dr. Syed Shamsuddin,QUETTA,Dermatologist,"MBBS, MCPS, FCPS",0.5576923076923077,0.16067612201282302,0.9701492537313433,0.23404255319148937,0.14444444444444446,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/prof-dr-syed-shamsuddin#reviews-scroll,0.5
Dr. Jaffar Ali,QUETTA,Dermatologist,"MBBS, MCPS (Dermatology), FDV (Austria)",0.5961538461538461,0.24285991839906743,0.9552238805970149,0.2765957446808511,0.14444444444444446,"Quetta Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-jaffar-ali#reviews-scroll,0.3
Asst. Prof. Dr. Syed Bilal Shams,QUETTA,"Dermatologist, Cosmetic Surgeon","MBBS, FCPS (Dermatology), Fellowship In Dermatology (USA)",0.2692307692307693,0.25140858752671463,0.9850746268656717,0.25531914893617025,0.16666666666666669,"Skin Center Dermatologist Dr. Syed Bilal Ahmed Shams Clinic, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/asst-prof-dr-syed-bilal-shams#reviews-scroll,0.5
Asst. Prof. Dr. Surjeet Kumar,QUETTA,Dermatologist,"MBBS, FCPS(Dermatology)",0.21153846153846156,0.02214882455799495,0.9850746268656717,0.23404255319148937,0.07777777777777778,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/asst-prof-dr-surjeet-kumar#reviews-scroll,0.2
Dr. Palwasha Jalil,QUETTA,Dermatologist,"MBBS, FCPS (Dermatology) Agha Khan University",0.13461538461538464,0.004662910433262095,0.9999999999999999,0.3404255319148936,0.17777777777777778,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-palwasha-jalil#reviews-scroll,0.15
Dr. Faiza Gul,QUETTA,Dermatologist,"MBBS, FCPS(Dermatology), SCE (UK)",0.07692307692307693,0.008937244997085682,0.9701492537313433,0.14893617021276595,0.12222222222222223,"Heart And General Hospital, Model Town, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-faiza-gul#reviews-scroll,0.1
Dr. Obed Ullah,QUETTA,Dermatologist,"MBBS , FCPS (Dermatology)",0.2692307692307693,0.011074412278997475,0.9999999999999999,0.23404255319148937,0.08888888888888889,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-obed-ullah#reviews-scroll,0.1
Dr. Saifullah Kakar,QUETTA,Dermatologist,"MBBS, FCPS (Dermatology)",0.07692307692307693,0.00019428793471925395,0.9999999999999999,0.14893617021276595,0.11111111111111112,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-saifullah-kakar#reviews-scroll,0.1
Dr. Mushtaq Ahmed,QUETTA,"Dermatologist, Dermatologist, Allergy Specialist","MBBS, Dip In Dermatology",0.15384615384615385,0.021954536623275695,0.8955223880597015,0.25531914893617025,0.14444444444444446,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-mushtaq-ahmed#reviews-scroll,0.1
Dr. Shakil Ashraf,QUETTA,Dermatologist,"MBBS, FCPS ( Dermatology )",0.23076923076923078,0.01670876238585584,0.9999999999999999,0.25531914893617025,0.12222222222222223,"Hammad Skin Laser and Hair transplant Clinic, Quetta, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-shakil-ashraf#reviews-scroll,0.15
